idRegion,libelleRegion,idCampagne,campagne,NbTotalGrpt,NbGrptPilote,NbGrptSatellite,NbGrptFerme,NbGrptOuvert,annee_debut
6,GAROUA,8,2018/2019,321,259,9,7,268,2018
4,KAELE,8,2018/2019,209,167,16,1,183,2018
2,MAROUA 2,10,2020/2021,252,208,9,0,217,2020
9,MAYO-GALKE,13,2023/2024,157,140,0,0,140,2023
4,KAELE,4,2014/2015,209,208,1,0,209,2014
8,NGONG,12,2022/2023,215,157,4,14,161,2022
7,TOUBORO,7,2017/2018,173,105,31,0,136,2017
7,TOUBORO,14,2024/2025,174,133,0,20,133,2024
5,GUIDER,10,2020/2021,278,255,7,1,262,2020
7,TOUBORO,1,2011/2012,171,123,38,0,161,2011
5,GUIDER,9,2019/2020,278,250,13,0,263,2019
6,GAROUA,7,2017/2018,322,254,14,5,268,2017
4,KAELE,7,2017/2018,209,171,11,0,182,2017
1,MAROUA 1,9,2019/2020,254,161,7,1,168,2019
5,GUIDER,4,2014/2015,278,262,10,0,272,2014
3,TCHATIBALI,11,2021/2022,191,157,0,4,157,2021
5,GUIDER,3,2013/2014,278,262,13,0,275,2013
4,KAELE,1,2011/2012,209,208,1,0,209,2011
8,NGONG,5,2015/2016,277,191,14,57,205,2015
7,TOUBORO,11,2021/2022,173,139,10,21,149,2021
8,NGONG,9,2019/2020,278,177,10,18,187,2019
4,KAELE,11,2021/2022,209,170,11,20,181,2021
1,MAROUA 1,4,2014/2015,254,216,10,0,226,2014
1,MAROUA 1,15,2025/2026,260,171,0,1,171,2025
5,GUIDER,12,2022/2023,278,251,0,1,251,2022
6,GAROUA,11,2021/2022,318,262,9,6,271,2021
6,GAROUA,6,2016/2017,322,268,10,8,278,2016
3,TCHATIBALI,14,2024/2025,192,157,0,2,157,2024
3,TCHATIBALI,8,2018/2019,191,138,11,5,149,2018
9,MAYO-GALKE,14,2024/2025,157,140,0,0,140,2024
9,MAYO-GALKE,7,2017/2018,157,132,9,0,141,2017
7,TOUBORO,6,2016/2017,173,121,42,0,163,2016
3,TCHATIBALI,4,2014/2015,191,164,10,0,174,2014
9,MAYO-GALKE,8,2018/2019,157,132,9,0,141,2018
4,KAELE,13,2023/2024,210,170,0,40,170,2023
1,MAROUA 1,5,2015/2016,254,186,35,0,221,2015
8,NGONG,4,2014/2015,278,196,11,58,207,2014
