Année,Région,S_realise,Formule_NPKSB,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA
2013,Mayo Galké,17433.25,15.20.15.5.1,300,100,8,5229975,1743325,139466.0,137640.0,2399505259.0
2014,Mayo Galké,17722.75,15.20.15.5.1,300,100,8,5316825,1772275,141782.0,140968.0,2498333582.0
2015,Mayo Galké,18525.75,15.20.15.5.1,300,100,8,5557725,1852575,148206.0,142114.0,2632775516.0
2016,Mayo Galké,17851.0,15.20.15.5.1,300,100,8,5355300,1785100,142808.0,139122.0,2483475631.0
2017,Mayo Galké,18490.0,15.20.15.5.1,300,100,8,5547000,1849000,147920.0,143108.0,2646074324.0
2018,Mayo Galké,21513.0,15.20.15.5.1,300,100,8,6453900,2151300,172104.0,148701.0,3199009541.0
2019,Mayo Galké,21288.0,15.20.15.5.1,300,100,8,6386400,2128800,170304.0,138205.0,2942104292.0
2020,Mayo Galké,19194.0,15.20.15.5.1,300,100,8,5758200,1919400,153552.0,139320.0,2674103528.0
2021,Mayo Galké,19916.0,15.20.15.5.1,300,100,8,5974800,1991600,159328.0,133888.0,2666518860.0
2022,Mayo Galké,23034.0,15.20.15.5.1,300,100,8,6910200,2303400,184272.0,156551.0,3605991707.0
2023,Mayo Galké,23466.0,15.20.15.5.1,300,100,8,7039800,2346600,187728.0,,
2024,Mayo Galké,22226.0,15.20.15.5.1,300,100,8,6667800,2222600,177808.0,,
2025,Mayo Galké,20141.0,15.20.15.5.1,300,100,8,6042300,2014100,161128.0,,
2013,Ngong,24085.0,15.20.15.5.1,300,100,8,7225500,2408500,192680.0,137640.0,3315049355.0
2014,Ngong,24533.75,15.20.15.5.1,300,100,8,7360125,2453375,196270.0,140968.0,3458463925.0
2015,Ngong,25733.0,15.20.15.5.1,300,100,8,7719900,2573300,205864.0,142114.0,3657029397.0
2016,Ngong,23486.75,15.20.15.5.1,300,100,8,7046025,2348675,187894.0,139122.0,3267535224.0
2017,Ngong,23064.0,15.20.15.5.1,300,100,8,6919200,2306400,184512.0,143108.0,3300652147.0
2018,Ngong,27650.0,15.20.15.5.1,300,100,8,8295000,2765000,221200.0,148701.0,4111588984.0
2019,Ngong,28154.0,15.20.15.5.1,300,100,8,8446200,2815400,225232.0,138205.0,3891018613.0
2020,Ngong,28909.0,15.20.15.5.1,300,100,8,8672700,2890900,231272.0,139320.0,4027595024.0
2021,Ngong,29175.0,15.20.15.5.1,300,100,8,8752500,2917500,233400.0,133888.0,3906190387.0
2022,Ngong,27711.0,15.20.15.5.1,300,100,8,8313300,2771100,221688.0,156551.0,4338179916.0
2023,Ngong,31286.0,15.20.15.5.1,300,100,8,9385800,3128600,250288.0,,
2024,Ngong,30695.0,15.20.15.5.1,300,100,8,9208500,3069500,245560.0,,
2025,Ngong,27562.0,15.20.15.5.1,300,100,8,8268600,2756200,220496.0,,
2013,Tchatibali,14240.0,22.23.15.5.1,300,0,8,4272000,0,113920.0,137640.0,1959987661.0
2014,Tchatibali,13209.5,22.23.15.5.1,300,0,8,3962850,0,105676.0,140968.0,1862111549.0
2015,Tchatibali,12388.0,22.23.15.5.1,300,0,8,3716400,0,99104.0,142114.0,1760512967.0
2016,Tchatibali,12712.0,22.23.15.5.1,300,0,8,3813600,0,101696.0,139122.0,1768525137.0
2017,Tchatibali,14036.0,22.23.15.5.1,300,0,8,4210800,0,112288.0,143108.0,2008669508.0
2018,Tchatibali,14609.0,22.23.15.5.1,300,0,8,4382700,0,116872.0,148701.0,2172376255.0
2019,Tchatibali,16336.0,22.23.15.5.1,300,0,8,4900800,0,130688.0,138205.0,2257714004.0
2020,Tchatibali,18187.0,22.23.15.5.1,300,0,8,5456100,0,145496.0,139320.0,2533808527.0
2021,Tchatibali,18186.0,22.23.15.5.1,300,0,8,5455800,0,145488.0,133888.0,2434892146.0
2022,Tchatibali,18233.0,22.23.15.5.1,300,0,8,5469900,0,145864.0,156551.0,2854391195.0
2023,Tchatibali,19044.25,22.23.15.5.1,300,0,8,5713275,0,152354.0,,
2024,Tchatibali,12880.0,22.23.15.5.1,300,0,8,3864000,0,103040.0,,
2025,Tchatibali,8862.0,22.23.15.5.1,300,0,8,2658600,0,70896.0,,
2012,Touboro,18170.0,15.20.15.5.1,300,100,8,5451000,1817000,145360.0,133211.0,2420445121.0
2013,Touboro,15650.0,15.20.15.5.1,300,100,8,4695000,1565000,125200.0,137640.0,2154059473.0
2014,Touboro,17543.0,15.20.15.5.1,300,100,8,5262900,1754300,140344.0,140968.0,2472994656.0
2015,Touboro,18848.0,15.20.15.5.1,300,100,8,5654400,1884800,150784.0,142114.0,2678571876.0
2016,Touboro,14466.0,15.20.15.5.1,300,100,8,4339800,1446600,115728.0,139122.0,2012545991.0
2017,Touboro,11908.0,15.20.15.5.1,300,100,8,3572400,1190800,95264.0,143108.0,1704134832.0
2018,Touboro,16588.0,15.20.15.5.1,300,100,8,4976400,1658800,132704.0,148701.0,2466655988.0
2019,Touboro,19619.75,15.20.15.5.1,300,100,8,5885925,1961975,156958.0,138205.0,2711544094.0
2020,Touboro,19787.0,15.20.15.5.1,300,100,8,5936100,1978700,158296.0,139320.0,2756720147.0
2021,Touboro,21193.0,15.20.15.5.1,300,100,8,6357900,2119300,169544.0,133888.0,2837494186.0
2022,Touboro,25267.0,15.20.15.5.1,300,100,8,7580100,2526700,202136.0,156551.0,3955569699.0
2023,Touboro,25425.0,15.20.15.5.1,300,100,8,7627500,2542500,203400.0,,
2024,Touboro,24260.0,15.20.15.5.1,300,100,8,7278000,2426000,194080.0,,
2025,Touboro,21557.0,15.20.15.5.1,300,100,8,6467100,2155700,172456.0,,
