Année,Région,S_Prevu,S_realise,Taux_realisation,Ecart_surface,Pluie_Annuelle_mm,NPKSB_kg_ha,Uree_kg_ha,ZnSO4_kg_ha,NPKSB_total_kg,Uree_total_kg,ZnSO4_total_kg,Credit_intrant_ha_FCFA,Credit_intrant_total_FCFA,Rdt_region_kg_ha,Production_region_T,Type_sol_Alluvions récentes argilo-limoneuses / sols ferrugineux,Type_sol_Sols ferrugineux tropicaux graveleux sur granite,"Type_sol_Sols ferrugineux tropicaux lessivés, localement hydromorphes",Type_sol_Sols ferrugineux tropicaux sableux sur socle granitique,Type_sol_Sols ferrugineux tropicaux sableux à sablo-argileux,"Type_sol_Sols ferrugineux tropicaux sableux, peu profonds","Type_sol_Sols ferrugineux tropicaux, localement vertiques",Type_sol_Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés,Formule_NPKSB_15.20.15.5.1,Formule_NPKSB_22.23.15.5.1,idRegion,NbTotalGrosProducteur,NbTotalGrpt,NbGrptPilote,NbGrptSatellite,NbGrptFerme,NbGrptOuvert,prix_moyen_article,Tonnage_S_realise,Tonnage_Credit,Tonnage_Arriere
2015,Kaélé,20403.0,19324.5,0.9471,-1078.5,790,300,0,8,5797350,0,154596.0,142114,2746289379,1235,23857.7,0,0,0,1,0,0,0,0,0,1,4,64,209,207,1,0,208,0,0,0,0
2016,Kaélé,17724.0,17989.5,1.015,265.5,672,300,0,8,5396850,0,143916.0,139122,2502744097,1309,23539.3,0,0,0,1,0,0,0,0,0,1,4,68,209,167,6,0,173,0,0,0,0
2017,Kaélé,18293.0,19154.0,1.0471,861.0,742,300,0,8,5746200,0,153232.0,143108,2741098302,1400,26819.0,0,0,0,1,0,0,0,0,0,1,4,114,209,171,11,0,182,0,0,0,0
2018,Kaélé,17553.0,18383.0,1.0473,830.0,983,300,0,8,5514900,0,147064.0,148701,2733574694,1573,28914.1,0,0,0,1,0,0,0,0,0,1,4,168,209,167,16,1,183,0,0,0,0
2019,Kaélé,16753.0,18099.0,1.0803,1346.0,1049,300,0,8,5429700,0,144792.0,138205,2501369108,1474,26676.7,0,0,0,1,0,0,0,0,0,1,4,250,209,160,24,1,184,0,0,0,0
2020,Kaélé,19017.0,19228.0,1.0111,211.0,876,300,0,8,5768400,0,153824.0,139320,2678840400,1598,30733.1,0,0,0,1,0,0,0,0,0,1,4,303,209,169,17,1,186,0,0,0,0
2021,Kaélé,19007.0,23112.0,1.216,4105.0,812,300,0,8,6933600,0,184896.0,133888,3094425783,1613,37273.0,0,0,0,1,0,0,0,0,0,1,4,406,209,170,11,20,181,0,0,0,0
2014,Maroua,51421.5,52373.0,1.0185,951.5,888,300,0,8,15711900,0,418984.0,140968,7382896261,1412,73963.9,0,0,1,0,0,0,0,0,0,1,2,0,252,218,14,0,232,0,0,0,0
2015,Maroua,38677.0,44664.75,1.1548,5987.75,680,300,0,8,13399425,0,357318.0,142114,6347503352,1241,55409.9,0,0,1,0,0,0,0,0,0,1,2,185,252,217,14,0,231,0,0,0,0
2016,Maroua,37065.75,39383.0,1.0625,2317.25,466,300,0,8,11814900,0,315064.0,139122,5479061161,1320,51974.5,0,0,1,0,0,0,0,0,0,1,2,216,252,205,17,0,222,0,0,0,0
2017,Maroua,34158.5,36862.0,1.0791,2703.5,625,300,0,8,11058600,0,294896.0,143108,5275261856,1407,51848.2,0,0,1,0,0,0,0,0,0,1,2,229,252,187,21,0,208,0,0,0,0
2018,Maroua,40917.25,42467.0,1.0379,1549.75,1020,300,0,8,12740100,0,339736.0,148701,6314895095,1571,66709.5,0,0,1,0,0,0,0,0,0,1,2,291,252,196,10,0,206,0,0,0,0
2019,Maroua,43293.0,46235.0,1.068,2942.0,1100,300,0,8,13870500,0,369880.0,138205,6389900035,1471,68018.9,0,0,1,0,0,0,0,0,0,1,2,458,252,204,9,0,213,0,0,0,0
2020,Maroua,47049.5,51909.75,1.1033,4860.25,1014,300,0,8,15572925,0,415278.0,139320,7232054059,1591,82580.0,0,0,1,0,0,0,0,0,0,1,2,598,252,208,9,0,217,0,0,0,0
2021,Maroua,46923.75,52445.25,1.1177,5521.5,918,300,0,8,15733575,0,419562.0,133888,7021803989,1607,84276.5,0,0,1,0,0,0,0,0,0,1,2,722,253,211,7,0,218,0,0,0,0
2013,Mayo Galké,17415.0,17433.25,1.001,18.25,1039,300,100,8,5229975,1743325,139466.0,137640,2399505259,1175,20477.8,1,0,0,0,0,0,0,0,1,0,9,0,157,137,20,0,157,0,0,0,0
2014,Mayo Galké,17765.0,17722.75,0.9976,-42.25,1462,300,100,8,5316825,1772275,141782.0,140968,2498333582,1381,24475.2,1,0,0,0,0,0,0,0,1,0,9,0,157,131,24,0,155,0,0,0,0
2015,Mayo Galké,18002.5,18525.75,1.0291,523.25,1282,300,100,8,5557725,1852575,148206.0,142114,2632775516,1208,22375.4,1,0,0,0,0,0,0,0,1,0,9,0,157,133,21,0,154,0,0,0,0
2016,Mayo Galké,17747.0,17851.0,1.0059,104.0,1183,300,100,8,5355300,1785100,142808.0,139122,2483475631,1281,22861.5,1,0,0,0,0,0,0,0,1,0,9,0,157,132,22,0,154,0,0,0,0
2017,Mayo Galké,18149.0,18490.0,1.0188,341.0,1532,300,100,8,5547000,1849000,147920.0,143108,2646074324,1357,25094.1,1,0,0,0,0,0,0,0,1,0,9,1389,157,132,9,0,141,0,0,0,0
2018,Mayo Galké,20679.0,21513.0,1.0403,834.0,1390,300,100,8,6453900,2151300,172104.0,148701,3199009541,1551,33360.5,1,0,0,0,0,0,0,0,1,0,9,1692,157,132,9,0,141,0,0,0,0
2019,Mayo Galké,19741.0,21288.0,1.0784,1547.0,1672,300,100,8,6386400,2128800,170304.0,138205,2942104292,1440,30655.1,1,0,0,0,0,0,0,0,1,0,9,1443,157,131,9,0,140,0,0,0,0
2020,Mayo Galké,18949.0,19194.0,1.0129,245.0,1213,300,100,8,5758200,1919400,153552.0,139320,2674103528,1580,30326.6,1,0,0,0,0,0,0,0,1,0,9,1204,157,135,1,0,136,0,0,0,0
2021,Mayo Galké,19911.0,19916.0,1.0003,5.0,1370,300,100,8,5974800,1991600,159328.0,133888,2666518860,1582,31513.8,1,0,0,0,0,0,0,0,1,0,9,1204,157,136,1,0,137,0,0,0,0
2013,Ngong,24658.5,24085.0,0.9767,-573.5,1098,300,100,8,7225500,2408500,192680.0,137640,3315049355,1171,28213.8,0,0,0,0,0,1,0,0,1,0,8,0,278,212,11,53,223,0,0,0,0
2014,Ngong,23710.5,24533.75,1.0347,823.25,1121,300,100,8,7360125,2453375,196270.0,140968,3458463925,1400,34336.7,0,0,0,0,0,1,0,0,1,0,8,0,278,196,11,58,207,0,0,0,0
2015,Ngong,23071.0,25733.0,1.1154,2662.0,1007,300,100,8,7719900,2573300,205864.0,142114,3657029397,1223,31465.6,0,0,0,0,0,1,0,0,1,0,8,20,277,191,14,57,205,0,0,0,0
2016,Ngong,22093.0,23486.75,1.0631,1393.75,813,300,100,8,7046025,2348675,187894.0,139122,3267535224,1301,30552.2,0,0,0,0,0,1,0,0,1,0,8,0,278,191,12,61,203,0,0,0,0
2017,Ngong,23003.0,23064.0,1.0027,61.0,853,300,100,8,6919200,2306400,184512.0,143108,3300652147,1394,32154.4,0,0,0,0,0,1,0,0,1,0,8,1557,278,166,1,17,167,0,0,0,0
2018,Ngong,26918.0,27650.0,1.0272,732.0,965,300,100,8,8295000,2765000,221200.0,148701,4111588984,1574,43517.0,0,0,0,0,0,1,0,0,1,0,8,1757,278,171,10,18,181,0,0,0,0
