idCampagne,campagne,idRegion,libelleRegion,idSecteur,libelleSecteur,idGroupement,libelleGroupement,S_Prevu,S_realise,TonnagePrevu,TonnageRealise,TonnageEvacue,TonnageAchete,TonnagePaye,NetAPaye,MontantPaye,Credit,RemboursementCredit,Arriere,RemboursementArriere
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,240.0,254.0,330000,329320,329320,322739,322739,14470005,14470005,79334550,79334550,0,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,193.0,207.0,280000,258480,258480,252013,252013,21116505,21116505,57134700,56649940,0,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,0.0,0.0,389000,248210,248210,0,0,0,0,102532150,99724340,5850000,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,154.0,168.0,230000,271400,14779,14779,14779,3598050,3598050,94961100,1155600,2423800,-740350
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,178.0,181.0,265815,207240,207240,0,0,0,0,77672884,77672884,16652335,0
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,175.0,180.0,307000,282180,282180,0,0,0,0,90507380,90507380,19031240,13444600
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,220.0,220.0,343000,341390,341390,0,0,0,0,46109370,46109370,4189980,171000
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,246.0,246.0,380000,505320,505320,0,0,0,0,56102300,56102300,4018980,4018980
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,286.0,286.0,615000,440250,440250,0,0,0,0,62751285,62751285,0,0
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,310.0,284.0,650000,435160,435160,0,0,0,0,60646640,60646640,0,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233014,BABORORO,270.0,284.0,468000,304080,304080,0,0,0,0,63298755,63298755,0,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1448030,0
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1448030,0
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1618030,170000
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1618030,0
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1618030,0
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1618030,0
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1688030,70000
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1688030,0
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,52.0,60.0,85000,57740,7782,7782,0,499920,0,30332600,3358080,3869880,0
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,60.0,63.0,110000,82540,82540,80206,80206,6633760,6633760,51652350,51652350,7122960,1318140
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,69.0,70.0,110000,135500,135500,131183,131183,18629855,18629855,56739750,56739750,3561480,0
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,55.0,56.0,105000,91740,91740,88899,88899,13532375,13532375,35017950,35017950,3582690,21210
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,52.0,52.0,100000,93800,93800,177544,177544,14441335,14441335,34994000,34994000,4344090,761400
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1448030,0
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233052,BADISSEM,0.0,0.0,0,0,0,0,0,0,0,0,0,1898030,210000
1.0,2011/2012,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,0.0,0.0,0,0,0,0,0,0,0,162178460,99326400,51545250,1583760
10.0,2020/2021,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,212.0,214.0,353000,425860,425860,0,0,0,0,51333025,48227095,0,0
11.0,2021/2022,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,211.0,218.0,460000,541680,541680,1051084,1051084,94699290,94699290,176743680,166714200,18635580,5520000
12.0,2022/2023,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,228.0,236.0,500000,382320,382320,374020,374020,52389275,52389275,176957175,176957175,32853100,14047250
13.0,2023/2024,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,259.0,260.0,385000,412460,412460,401953,401953,40503800,40503800,152369220,152369220,10746200,19120
14.0,2024/2025,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,220.0,220.0,375000,278540,278540,272354,272354,27244560,27244560,114947800,114363500,18772390,574000
15.0,2025/2026,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,167.0,175.0,300000,243500,175585,175585,117507,18478835,13446095,47198830,24152985,14459600,0
2.0,2012/2013,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,0.0,0.0,425000,329760,329760,0,0,0,0,223408140,222449380,41855975,815000
3.0,2013/2014,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,215.0,206.0,258500,241120,241120,0,0,0,0,212053714,212067215,59135195,1603539
4.0,2014/2015,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,145.0,145.0,194000,192580,192580,0,0,0,0,125608608,125608608,65750462,7350464
6.0,2016/2017,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,165.0,165.0,240000,348340,348340,0,0,0,0,68034960,68034960,42678840,1255800
5.0,2015/2016,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,135.0,135.0,132000,239200,239200,0,0,0,0,74674320,74674320,43800000,1121160
7.0,2017/2018,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,180.0,180.0,347000,424300,424300,0,0,0,0,39721640,39721640,48326880,48326880
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,235.0,250.0,515000,491740,491740,0,0,0,0,48619805,48619805,0,0
9.0,2019/2020,9,MAYO-GALKE,97,BAIKWA,233001,BAIKWA 1,221.0,250.0,490000,375740,375740,0,0,0,0,53542790,53542790,0,0
8.0,2018/2019,9,MAYO-GALKE,97,BAIKWA,233043,BAIKWA 2,168.0,167.0,285000,254100,254100,0,0,0,0,105336735,105336735,2301145,122520
