CODE_ART,LIBELLE_ART,LIBELLE_ETD_ART,PRIX_ART_DPA,DATE_PRIX,PRIX_ART_CPT,PRIX_ART_PCT,CES_CREDIT,CES_COMPTANT,CES_PRETCT,CODE_SOUS_FAM,CODE_UNITE,ACTIF,LIBELLE_UNITE,LIBELLE_SOUS_FAM,CODE_FAM,LIBELLE_FAM,CAMPAGNE,CODE_CAMP
368023.0,ENGRAIS 12.24.12,ENGRAIS 12.24.12,520,2024-05-30,0.0,0.0,O,O,O,3680,,True,Kilogramme,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368025.0,ENGRAIS 13.13.21,ENGRAIS 13.13.21,520,2024-05-30,0.0,0.0,O,O,O,3680,,True,Kilogramme,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368024.0,ENGRAIS 20.10.10 EN 50 KG,ENGRAIS 20.10.10 EN 50 KG,480,2024-05-30,0.0,0.0,O,O,O,3680,,True,Kilogramme,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368026.0,ENGRAIS 20.10.10 EN SAC DE 25 KG,ENGRAIS 20.10.10 EN SAC DE 25 KG,520,2024-05-30,0.0,0.0,O,O,O,3680,,True,Kilogramme,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368121.0,GLYPHADER 750 EN SACHET DE 260G,GLYPHADER 750 EN SACHET DE 260G,1350,2024-06-03,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368188.0,DIURALM 80 DF EN SACHET DE 225 G,DIURALM 80 DF EN SACHET DE 225 G,1200,2025-05-28,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368183.0,ATRAROY 90 WG  DE 225 G,ATRAROY  90 WG EN SACGET DE 225 G,1250,2025-05-28,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368187.0,STELLAR STAR,STELLAR STAR,21200,2025-05-28,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368184.0,NICOROY 75 WG,NICOROY 75 WG,2500,2025-05-28,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368186.0,TRIFLOROY 110 D,TRIFLOROY 110 D,12500,2023-05-15,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
373101.0,panthera,panthera,5500,2024-08-09,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
373191.0,FASCINATE DRY,FASCINATE DRY,6500,2023-08-16,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368185.0,DIUROY 80 WG,DIUROY 80 WG,1500,2023-08-19,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
373304.0,FLONIROY,FLONIROY,2800,2024-08-09,0.0,0.0,O,O,O,3733,,True,Sachet,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373303.0,BATICK,BATICK EN 250 G,3600,2024-08-09,0.0,0.0,O,O,O,3733,,True,Sachet,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373396.0,DINEL,DINEL,4250,2023-07-25,0.0,0.0,O,O,O,3683,,True,Sachet,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373306.0,ANTARIO,ANTARIO,3250,2025-08-18,0.0,0.0,O,O,O,3733,,True,Sachet,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373600.0,SAVON ETOILE,SAVON ETOILE,170,2024-08-09,0.0,0.0,O,O,O,3696,,True,Unité,Divers,DCPT_DEUX,décomptes numéro 2,2025-2026,15
367006.0,SEMENCE DE CROTALAIRE RETUSA,SEMENCE DE CROTALAIRE RETUSA EN SACHET DE 500 G,25,2013-04-03,0.0,0.0,O,O,O,3670,,True,Sachet,Semences PLANTE COUV,DCPT_UN,décomptes numéro 1,2025-2026,15
367008.0,SEMENCE DE CROTALAIRE RETUSA,"SEMENCE DE CROTALAIRE RETUSA EN SACHET DE 2,5 KG",125,2013-04-03,0.0,0.0,O,O,O,3670,,True,Sachet,Semences PLANTE COUV,DCPT_UN,décomptes numéro 1,2025-2026,15
369424.0,ADAPTATEUR AR. CORPS SARCLEUR,ADAPTATEUR AR. CORPS SARCLEUR,11500,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369522.0,JOUGUET MONOBOVIN TRANSPORT,JOUGUET MONOBOVIN POUR TRANSPORT,5500,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
369427.0,JOUGUET MONOBOEUF,JOUGUET MONOBOEUF,7000,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369428.0,BRICOLE ASINE IRAD EN NYLON,BRICOLE ASINE IRAD EN NYLON,5000,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369429.0,RAYONNEUR,RAYONNEUR,10400,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369430.0,ADAPTATEUR DE TRACEUR 2 DENTS,ADAPTATEUR DE TRACEUR 2 DENTS,7000,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369431.0,RONDELLE PLATE Z 22V,RONDELLE PLATE Z 22V,200,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369432.0,GOUPILLE V 6X60 805-01-01,GOUPILLE V 6X60 805-01-01,100,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
368028.0,ENGRAIS 15.20.15,ENGRAIS 15.20.15,480,2025-06-05,0.0,0.0,O,O,O,3680,,True,Kilogramme,Engrais,DCPT_UN,décomptes numéro 1,2025-2026,15
368241.0,CALTHIO I,CALTHIO I,500,2024-06-03,0.0,0.0,O,O,O,3682,,True,Sachet,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
368191.0,FASCINATE DRY,FASCINATE DRY,2500,2024-09-23,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368192.0,SERENITY 192 OD,SERENITY 192 OD,8500,2024-08-09,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
3683.0,GRACIA,GRACIA,18000,2024-08-09,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
3733.0,GRACIA,GRACIA,18000,2024-08-09,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373310.0,GRACIA,GRACIA,18000,2024-08-09,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373307.0,COMBATTANT,COMBATTANT,3750,2024-08-09,0.0,0.0,O,O,O,3733,,True,Flacon,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373309.0,AHA BIO AHA 500ML,AHA BIO AHA 500ML,20000,2024-08-09,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373311.0,BIO K32 250MG,BIO K32 250MG,3250,2025-08-18,0.0,0.0,O,O,O,3733,,True,Sachet,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368137.0,FINISH 68 SG,FINISH 68 SG EN SACHET DE 260 G,1200,2025-05-28,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368136.0,GLYCOTT ULTRA 757 WG,GLYCOTT ULTRA 757 WG EN SACHET DE 260 G,1200,2025-05-28,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368135.0,CYCLONE 200 SL,CYCLONE 200 SL,6500,2024-06-03,0.0,0.0,O,O,O,3681,,True,Litre,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
366025.0,SEMENCE DELINTEE ET TRAITEE,SEMENCE DELINTEE ET TRAITEE EN SAC DE 5 KG,7000,2023-07-10,0.0,0.0,O,O,O,3660,,True,Sac,Semences,DCPT_UN,décomptes numéro 1,2025-2026,15
369411.0,ADAPTATEUR 101 C,ADAPTATEUR 101 C,3600,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
369420.0,ENSEMBLE LAME SARCLEUR T20,ENSEMBLE LAME SARCLEUR T20 EQUIPE DE 2 DENTS ET 2 COEURS DE 250 MM+ BRAS DE ROUE,25000,2020-06-02,0.0,0.0,O,O,O,3694,,True,Unité,CORPS SARCLEUR,NO_DCPT,Aucun Décompte,2025-2026,15
368325.0,SULTAN 500 EC,SULTAN 500 EC,4300,2012-04-19,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
369684.0,BROUETTE,BROUETTE TROPIC,23500,2020-06-02,0.0,0.0,O,O,O,3696,,True,Unité,Divers,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368130.0,AGRAZINE 90 WG,AGRAZINE 90 WG EN SACHET DE 225 G,1350,2024-05-30,0.0,0.0,O,O,O,3681,,True,Sachet,Herbicides,DCPT_UN,décomptes numéro 1,2025-2026,15
368806.0,"VIS NP6 X 3/8"" REF.4646","VIS NP6 X 3/8"" REF.4646",50,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368310.0,TRIALM 400 EC 400G/L DE TRIAZ,TRIALM 400 EC 400G/L DE TRIAZ,6600,2016-08-09,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
369519.0,ROULEMENT 30205,ROULEMENT 30205,6800,2020-06-02,0.0,0.0,O,O,O,3695,,True,Unité,Mat transp Piec Rech,NO_DCPT,Aucun Décompte,2025-2026,15
368314.0,CALFOS 720 EC,CALFOS 720 EC,15120,2012-04-19,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368752.0,COLLIER SERRAGE BOITIER,COLLIER SERRAGE BOITIER,0,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368754.0,CONNECTEUR BIDON REF.5752,CONNECTEUR BIDON REF.5752,3600,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368801.0,APPAREIL ULVA+ 10L/HA (MICRON),APPAREIL ULVA+ 10L/HA (MICRON),30000,2024-06-06,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368804.0,"RESSORT CONTACT MOTEUR 9/32""","RESSORT CONTACT MOTEUR 9/32""",0,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368809.0,"TUBE PVC 1/4"" (ID) AU METRE","TUBE PVC 1/4"" (ID) AU METRE",800,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368815.0,BOUTEILLE 1L AVEC BOUCHON,BOUTEILLE 1L AVEC BOUCHON,2650,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368816.0,MOTEUR ULVA+ 12 VOLTS REF.5320,MOTEUR ULVA+ 12 VOLTS REF.5320,6050,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368821.0,PLATINE MOTEUR REF.5366,PLATINE MOTEUR REF.5366,500,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368822.0,CARTER MOTEUR REF.5367,CARTER MOTEUR REF.5367,2150,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368825.0,ECROU A AILETTES REF.5370,ECROU A AILETTES REF.5370,970,2012-04-19,0.0,0.0,O,O,O,3688,,True,Unité,App Ulv Piec Rechang,NO_DCPT,Aucun Décompte,2025-2026,15
368737.0,TETE MOTEUR (VERTE) REF.5359B,TETE MOTEUR (VERTE) REF.5359B,11500,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
368738.0,RESSORT POUR TETE REF.4457,RESSORT POUR TETE REF.4457,25,2012-04-19,0.0,0.0,O,O,O,3687,,True,Unité,App Hand Piec Rechan,NO_DCPT,Aucun Décompte,2025-2026,15
373313.0,LAUDENTO,LAUDENTO,6500,2025-08-18,0.0,0.0,O,O,O,3683,,True,Flacon,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373308.0,SPANVIC,SPANVIC,16250,2025-08-18,0.0,0.0,O,O,O,3683,,True,Litre,Insecticides,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373314.0,SILVALIS,SILVALIS,6500,2025-08-18,0.0,0.0,O,O,O,3733,,True,Flacon,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373312.0,CYPERCAL,CYPERCAL,3050,2025-09-05,0.0,0.0,O,O,O,3733,,True,Flacon,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373315.0,CYPERCAL,CYPERCAL,8400,2025-09-05,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
373305.0,FORTENZA,FORTENZA,166000,2025-08-18,0.0,0.0,O,O,O,3733,,True,Litre,insecticide bio,DCPT_DEUX,décomptes numéro 2,2025-2026,15
368242.0,MOMTAZ,MOMTAZ,500,2025-07-18,0.0,0.0,O,O,O,3682,,True,Sachet,prod traitsem,DCPT_UN,décomptes numéro 1,2025-2026,15
