Année,Mois,Station,Pluie_mm
2016,9,Tchatibali,141.0
2016,9,Touboro,178.0
2016,10,Garoua,50.0
2016,10,Guider,54.0
2016,10,Homé,68.0
2016,10,Kaélé,29.0
2016,10,Maroua,3.0
2016,10,Mayo Galké,89.0
2016,10,Ngong,71.0
2016,10,Poli,74.0
2016,10,Tchatibali,9.0
2016,10,Touboro,51.0
2017,4,Garoua,92.0
2017,4,Guider,11.0
2017,4,Homé,68.0
2017,4,Kaélé,6.0
2017,4,Maroua,24.0
2017,4,Mayo Galké,82.0
2017,4,Ngong,27.0
2017,4,Poli,130.0
2017,4,Tchatibali,24.0
2017,4,Touboro,51.0
2017,5,Garoua,167.0
2017,5,Guider,77.0
2017,5,Homé,117.0
2017,5,Kaélé,96.0
2017,5,Maroua,40.0
2017,5,Mayo Galké,91.0
2017,5,Ngong,40.0
2017,5,Poli,71.0
2017,5,Tchatibali,102.0
2017,5,Touboro,159.0
2017,6,Garoua,179.0
2017,6,Guider,99.0
2017,6,Homé,297.0
2017,6,Kaélé,76.0
2017,6,Maroua,142.0
2017,6,Mayo Galké,295.0
2017,6,Ngong,144.0
2017,6,Poli,263.0
2017,6,Tchatibali,49.0
2017,6,Touboro,262.0
2017,7,Garoua,165.0
2017,7,Guider,120.0
2017,7,Homé,398.0
2017,7,Kaélé,132.0
2017,7,Maroua,195.0
2017,7,Mayo Galké,287.0
2017,7,Ngong,146.0
2017,7,Poli,362.0
2017,7,Tchatibali,246.0
2017,7,Touboro,372.0
2017,8,Garoua,152.0
2017,8,Guider,154.0
2017,8,Homé,282.0
2017,8,Kaélé,216.0
2017,8,Maroua,134.0
2017,8,Mayo Galké,176.0
2017,8,Ngong,142.0
2017,8,Poli,370.0
2017,8,Tchatibali,251.0
2017,8,Touboro,294.0
2017,9,Garoua,244.0
2017,9,Guider,127.0
2017,9,Homé,280.0
2017,9,Kaélé,211.0
2017,9,Maroua,90.0
2017,9,Mayo Galké,295.0
2017,9,Ngong,336.0
2017,9,Poli,296.0
2017,9,Tchatibali,158.0
