Date,Station,Pluie_mm
2017-05-24,Garoua,6.0
2017-05-25,Garoua,60.0
2017-06-01,Garoua,2.0
2017-06-03,Garoua,30.0
2017-06-07,Garoua,6.0
2017-06-11,Garoua,20.0
2017-06-13,Garoua,30.0
2017-06-16,Garoua,8.0
2017-06-18,Garoua,30.0
2017-06-23,Garoua,13.0
2017-06-30,Garoua,40.0
2017-07-01,Garoua,1.0
2017-07-04,Garoua,35.0
2017-07-08,Garoua,25.0
2017-07-10,Garoua,9.0
2017-07-13,Garoua,12.0
2017-07-15,Garoua,2.0
2017-07-17,Garoua,1.0
2017-07-18,Garoua,5.0
2017-07-21,Garoua,40.0
2017-07-24,Garoua,3.0
2017-07-28,Garoua,1.0
2017-07-29,Garoua,6.0
2017-07-30,Garoua,25.0
2017-08-03,Garoua,30.0
2017-08-06,Garoua,2.0
2017-08-08,Garoua,25.0
2017-08-10,Garoua,3.0
2017-08-13,Garoua,2.0
2017-08-15,Garoua,13.0
2017-08-16,Garoua,4.0
2017-08-20,Garoua,23.0
2017-08-21,Garoua,1.0
2017-08-22,Garoua,1.0
2017-08-24,Garoua,14.0
2017-08-25,Garoua,14.0
2017-08-26,Garoua,2.0
2017-08-27,Garoua,10.0
2017-08-29,Garoua,3.0
2017-08-30,Garoua,5.0
2017-09-06,Garoua,5.0
2017-09-07,Garoua,7.0
2017-09-08,Garoua,3.0
2017-09-10,Garoua,6.0
2017-09-12,Garoua,30.0
2017-09-17,Garoua,70.0
2017-09-19,Garoua,32.0
2017-09-20,Garoua,4.0
2017-09-21,Garoua,28.0
2017-09-23,Garoua,32.0
2017-09-27,Garoua,5.0
2017-09-29,Garoua,22.0
2017-10-03,Garoua,14.0
2017-10-11,Garoua,1.0
2018-04-24,Garoua,12.0
2018-05-02,Garoua,6.0
2018-05-04,Garoua,3.0
2018-05-07,Garoua,17.0
2018-05-09,Garoua,4.0
2018-05-12,Garoua,4.0
2018-05-14,Garoua,1.0
2018-05-17,Garoua,5.0
2018-05-28,Garoua,40.0
2018-06-03,Garoua,2.0
2018-06-06,Garoua,11.0
2018-06-10,Garoua,3.0
2018-06-16,Garoua,30.0
2018-06-17,Garoua,4.0
2018-06-20,Garoua,2.0
2018-06-23,Garoua,4.0
2018-06-24,Garoua,25.0
2018-06-28,Garoua,10.0
2018-07-01,Garoua,20.0
2018-07-03,Garoua,12.0
2018-07-09,Garoua,35.0
2018-07-11,Garoua,20.0
2018-07-13,Garoua,3.0
2018-07-16,Garoua,40.0
2018-07-19,Garoua,20.0
2018-07-20,Garoua,4.0
2018-07-21,Garoua,1.0
2018-07-26,Garoua,40.0
2018-08-01,Garoua,8.0
2018-08-02,Garoua,6.0
2018-08-08,Garoua,16.0
2018-08-11,Garoua,40.0
2018-08-13,Garoua,95.0
2018-08-16,Garoua,115.0
2018-08-19,Garoua,40.0
2018-08-20,Garoua,30.0
2018-08-24,Garoua,20.0
2018-08-25,Garoua,1.0
2018-08-28,Garoua,50.0
2018-08-30,Garoua,6.0
2018-08-31,Garoua,50.0
2018-09-01,Garoua,5.0
2018-09-03,Garoua,5.0
2018-09-06,Garoua,2.0
2018-09-07,Garoua,30.0
2018-09-09,Garoua,24.0
2018-09-12,Garoua,50.0
2018-09-14,Garoua,1.0
2018-09-15,Garoua,9.0
2018-09-17,Garoua,8.0
2018-09-19,Garoua,5.0
2018-09-22,Garoua,35.0
2018-09-23,Garoua,40.0
2018-09-24,Garoua,3.0
2018-09-27,Garoua,7.0
2018-09-30,Garoua,4.0
2018-10-12,Garoua,6.0
2018-10-24,Garoua,4.0
2018-10-28,Garoua,1.0
2019-04-13,Garoua,2.0
2019-04-15,Garoua,20.0
2019-04-30,Garoua,1.0
2019-05-03,Garoua,3.0
2019-05-06,Garoua,3.0
2019-05-08,Garoua,10.0
2019-05-12,Garoua,1.0
2019-05-14,Garoua,1.0
2019-05-18,Garoua,6.0
2019-05-20,Garoua,8.0
2019-05-26,Garoua,7.0
2019-05-29,Garoua,35.0
2019-06-01,Garoua,1.0
2019-06-02,Garoua,21.0
2019-06-05,Garoua,50.0
2019-06-07,Garoua,8.0
2019-06-10,Garoua,35.0
2019-06-11,Garoua,30.0
2019-06-13,Garoua,2.0
2019-06-19,Garoua,2.0
2019-06-21,Garoua,5.0
2019-06-23,Garoua,60.0
2019-06-25,Garoua,20.0
2019-07-01,Garoua,15.0
2019-07-05,Garoua,40.0
2019-07-08,Garoua,2.0
2019-07-09,Garoua,1.0
2019-07-11,Garoua,40.0
