Région,Type_sol
Garoua,Vertisols de la Bénoué / sols ferrugineux tropicaux lessivés
Guider,Sols ferrugineux tropicaux sableux à sablo-argileux
Kaélé,Sols ferrugineux tropicaux sableux sur socle granitique
Maroua,"Sols ferrugineux tropicaux lessivés, localement hydromorphes"
Mayo Galké,Alluvions récentes argilo-limoneuses / sols ferrugineux
Ngong,"Sols ferrugineux tropicaux sableux, peu profonds"
Tchatibali,Sols ferrugineux tropicaux graveleux sur granite
Touboro,"Sols ferrugineux tropicaux, localement vertiques"
