Date,Station,Pluie_mm
2014-09-16,Garoua,10.0
2014-09-17,Garoua,0.0
2014-09-18,Garoua,3.0
2014-09-19,Garoua,0.0
2014-09-20,Garoua,4.0
2014-09-21,Garoua,13.0
2014-09-22,Garoua,4.0
2014-09-23,Garoua,0.0
2014-09-24,Garoua,4.0
2014-09-25,Garoua,0.0
2014-09-26,Garoua,0.0
2014-09-27,Garoua,0.0
2014-09-28,Garoua,0.0
2014-09-29,Garoua,12.0
2014-09-30,Garoua,9.0
2014-10-01,Garoua,2.0
2014-10-02,Garoua,0.0
2014-10-03,Garoua,7.0
2014-10-04,Garoua,0.0
2014-10-05,Garoua,7.0
2014-10-06,Garoua,0.0
2014-10-07,Garoua,0.0
2014-10-08,Garoua,0.0
2014-10-09,Garoua,13.0
2014-10-10,Garoua,0.0
2014-10-11,Garoua,0.0
2014-10-12,Garoua,11.0
2014-10-13,Garoua,65.0
2014-10-14,Garoua,0.0
2014-10-15,Garoua,0.0
2014-10-16,Garoua,0.0
2014-10-17,Garoua,0.0
2014-10-18,Garoua,0.0
2014-10-19,Garoua,0.0
2014-10-20,Garoua,0.0
2014-10-21,Garoua,0.0
2014-10-22,Garoua,3.0
2014-10-23,Garoua,0.0
2014-10-24,Garoua,0.0
2014-10-25,Garoua,0.0
2014-10-26,Garoua,0.0
2014-10-27,Garoua,0.0
2014-10-28,Garoua,0.0
2014-10-29,Garoua,0.0
2014-10-30,Garoua,0.0
2014-10-31,Garoua,0.0
2014-11-01,Garoua,0.0
2014-11-02,Garoua,0.0
2014-11-03,Garoua,0.0
2014-11-04,Garoua,0.0
2014-11-05,Garoua,0.0
2014-11-06,Garoua,0.0
2014-11-07,Garoua,0.0
2014-11-08,Garoua,0.0
2014-11-09,Garoua,0.0
2014-11-10,Garoua,0.0
2014-11-11,Garoua,0.0
2014-11-12,Garoua,0.0
2014-11-13,Garoua,0.0
2014-11-14,Garoua,0.0
2014-11-15,Garoua,0.0
2014-11-16,Garoua,0.0
2014-11-17,Garoua,0.0
2014-11-18,Garoua,0.0
2014-11-19,Garoua,0.0
2014-11-20,Garoua,0.0
2014-11-21,Garoua,0.0
2014-11-22,Garoua,0.0
2014-11-23,Garoua,0.0
